4 21 14.4952 -0.0886 -0.1998  0.0136
4 22 14.4604 -0.0848 -0.1764  0.0012
4 23 14.4185 -0.1094 -0.2083 -0.0200
4 24 14.3703 -0.1250 -0.2027 -0.0139
4 25 14.3300 -0.1304 -0.2053 -0.0320
4 26 14.2796 -0.1389 -0.2090 -0.0400
4 27 14.2454 -0.1248 -0.1898 -0.0337
4 28 14.1896 -0.1404 -0.2344 -0.0289
4 29 14.1432 -0.1365 -0.2436 -0.0342
4 30 14.0795 -0.1659 -0.2717 -0.0891
5 1 13.9407 -0.2490 -0.3317 -0.1665
5 2 13.8892 -0.2540 -0.3206 -0.2032
5 3 13.8480 -0.2315 -0.3343 -0.1170
5 4 13.8150 -0.1257 -0.2404 -0.0306
5 5 13.7629 -0.1262 -0.2071 -0.0519
5 6 13.7214 -0.1266 -0.1930 -0.0642
5 7 13.6743 -0.1407 -0.2048 -0.0782
5 8 13.6374 -0.1255 -0.2206 -0.0405
5 9 13.5846 -0.1368 -0.2157 -0.0603
5 10 13.5467 -0.1276 -0.2001 -0.0300
5 11 13.4947 -0.1427 -0.2312 -0.0531
5 12 13.4692 -0.1154 -0.1943 -0.0349
5 13 13.4267 -0.1200 -0.2076 -0.0556
5 14 13.3903 -0.1044 -0.1764 -0.0355
5 15 13.3371 -0.1321 -0.1931 -0.0815
5 16 13.2859 -0.1409 -0.2296 -0.0608
5 17 13.2393 -0.1510 -0.2285 -0.0799
5 18 13.1955 -0.1417 -0.2592 -0.0498
5 19 13.1533 -0.1326 -0.2264 -0.0249
5 20 13.1067 -0.1326 -0.2765 -0.0124
5 21 13.0534 -0.1420 -0.2408 -0.0410
5 22 13.0010 -0.1523 -0.2502 -0.0659
5 23 12.9641 -0.1426 -0.2190 -0.0727
5 24 12.9291 -0.1243 -0.2116 -0.0437
5 25 12.8900 -0.1111 -0.2038 -0.0125
5 26 12.8502 -0.1139 -0.1851 -0.0277
5 27 12.8171 -0.1121 -0.1844 -0.0313
5 28 12.7783 -0.1117 -0.1873 -0.0249
5 29 12.7375 -0.1127 -0.2068 -0.0259
5 30 12.6872 -0.1299 -0.1923 -0.0841
5 31 12.6345 -0.1437 -0.2121 -0.0713
6 1 12.4977 -0.2398 -0.3389 -0.1303
6 2 12.4455 -0.2417 -0.3572 -0.1687
6 3 12.3925 -0.2420 -0.3590 -0.1502
6 4 12.3473 -0.1504 -0.2415 -0.0695
6 5 12.3015 -0.1440 -0.2175 -0.0784
6 6 12.2549 -0.1376 -0.2117 -0.0642
6 7 12.2090 -0.1383 -0.2116 -0.0768
6 8 12.1646 -0.1370 -0.2374 -0.0739
6 9 12.1190 -0.1360 -0.2216 -0.0615
6 10 12.0753 -0.1337 -0.2104 -0.0459
6 11 12.0414 -0.1232 -0.2082 -0.0469
6 12 12.0033 -0.1157 -0.1980 -0.0492
6 13 11.9459 -0.1293 -0.1940 -0.0503
6 14 11.8934 -0.1479 -0.2157 -0.0687
6 15 11.8433 -0.1600 -0.2383 -0.0697
6 16 11.7875 -0.1585 -0.2391 -0.0820
6 17 11.7295 -0.1640 -0.2511 -0.0719
6 18 11.6643 -0.1790 -0.2598 -0.1008
6 19 11.6088 -0.1786 -0.2847 -0.1147
6 20 11.5490 -0.1805 -0.2647 -0.0919
6 21 11.4838 -0.1804 -0.2705 -0.0865
6 22 11.4307 -0.1781 -0.2821 -0.0720
6 23 11.3777 -0.1713 -0.2870 -0.0623
6 24 11.3028 -0.1811 -0.2810 -0.1056
6 25 11.2490 -0.1817 -0.3029 -0.0706
6 26 11.1836 -0.1941 -0.2765 -0.1108
6 27 11.1180 -0.1848 -0.2869 -0.0999
6 28 11.0395 -0.2095 -0.3134 -0.1139
6 29 10.9715 -0.2122 -0.3224 -0.1196
6 30 10.8996 -0.2184 -0.2776 -0.1315
7 1 10.6921 -0.3474 -0.4428 -0.2642
7 2 10.6180 -0.3535 -0.4358 -0.2860
7 3 10.5509 -0.3487 -0.4880 -0.2488
7 4 10.4917 -0.2004 -0.2888 -0.0894
7 5 10.4104 -0.2076 -0.2878 -0.1170
7 6 10.3185 -0.2324 -0.3369 -0.1258
7 7 10.2353 -0.2564 -0.3482 -0.1657
7 8 10.1714 -0.2390 -0.3501 -0.1449
7 9 10.1017 -0.2168 -0.3060 -0.1320
7 10 10.0095 -0.2258 -0.2822 -0.1399
7 11  9.9303 -0.2412 -0.3540 -0.1347
7 12  9.8482 -0.2535 -0.3822 -0.1240
7 13  9.7527 -0.2569 -0.3760 -0.1629
7 14  9.6724 -0.2579 -0.3863 -0.1285
7 15  9.5642 -0.2840 -0.3998 -0.1649
7 16  9.4805 -0.2722 -0.3490 -0.1953
7 17  9.4009 -0.2716 -0.3569 -0.1906
7 18  9.3056 -0.2586 -0.3364 -0.1878
7 19  9.2154 -0.2651 -0.3532 -0.1809
7 20  9.1275 -0.2734 -0.3789 -0.1729
7 21  9.0304 -0.2752 -0.3649 -0.1602
7 22  8.9526 -0.2628 -0.3679 -0.1808
7 23  8.8510 -0.2765 -0.3516 -0.1731
7 24  8.7725 -0.2579 -0.3629 -0.1578
7 25  8.6836 -0.2689 -0.3951 -0.1744
